"PC1"	"PC2"	"PC3"	"PC4"
"Dhrs1"	0.0267894279471082	-2.60688899630162e-05	0.0109197975143597	-0.000708901894338927
"Dgka"	0.0267858968519429	0.0005835974331836	-0.0108999317797745	0.00141726095027219
"Snca"	0.0267786781719202	0.00578817253476557	0.0034259643195302	0.00186312765612068
"Kcnj6"	0.0267781206469221	0.000719373619901279	-0.0109418069687059	0.000824219522619505
"Abca7"	0.0267751055788332	-0.00330671973797366	-0.00928620135364642	0.000450716109603536
"Gabrr2"	0.0267650637778921	-0.00554268172988371	-0.00484229508510545	-0.00196521186329481
"Abcc9"	0.0267559660104892	0.00476479305016581	0.00717052963183597	-0.000671237237232844
"Apobr"	0.0267505623517781	0.00622420829882245	-4.82776861266968e-05	-0.000825803775022235
"Orai1"	0.0267450872965502	-0.00260176602276497	0.0102769337035477	-0.000346059857904298
"Gpx6"	0.02674312950402	-0.00533363609231249	-0.00592379116096944	-0.00184976370646571
"Atp8b4"	0.0267396018656237	0.00194154244793293	0.0107924662936809	-0.000185130316280562
"Txnrd2"	0.0267389926601421	-0.00451215397820411	0.00789536052333165	-0.00119037257207895
"Cacna1e"	0.0267258430767972	0.00447987798589104	0.00811210612965765	-0.000898794239309808
"Thnsl2"	0.0267102461817352	-0.00415220665514402	0.00883428866893399	0.000852663626963646
"Grik4"	0.0267030691476518	0.00502683166404076	-0.00729127334433356	0.000662754343647749
