"Barcodes"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"BRDN0003497758"	-0.0582516649589076	-0.118366474605887	0.138255529619568	0.0098472527050253	-0.36376936015256
"BRDN0003496581"	0.00918916545623346	0.0130888752603964	-0.219910704335223	-0.196993397884147	0.187256384250574
"BRDN0003504540"	-0.204577793566686	-0.192181061475064	-0.229150822957539	-0.438391410472722	-0.501319417569742
"BRDN0003497055"	-0.0379618291270721	-0.0485258314240283	-0.0368228412744831	0.149064156918522	0.015633485581455
"BRDN0003509199"	-0.0544420651092246	-0.136858175701074	-0.377333451144668	-0.41907453045785	-0.583985554635832
"BRDN0003503387"	0.00936753463069956	0.0479483413229886	-0.118134169224639	0.013557743552212	0.131695909228727
"BRDN0003497359"	-0.0732024942419413	-0.0761794892775936	0.0601633082763888	-0.148033770027379	-0.139818430368195
"BRDN0003506792"	0.0363024263381466	0.0586415974398218	0.109976260682822	-0.0780816245527564	0.24133163154842
"BRDN0003506787"	-0.0404296175218983	-0.099153367358482	0.0605642920546665	-0.0925510644202368	-0.0866634511147173
"BRDN0003499074"	0.0474140787232098	0.0205057211218708	-0.095889180225602	-0.103380408182813	0.0153999807341189
"BRDN0003507372"	-0.133767665597077	-0.168904990438181	-0.35498567570719	-0.187111910948408	-0.584543333190157
"BRDN0003500616"	0.00581893983759251	-0.0387906169554154	-0.0778501841658975	0.0219702682227022	-0.145286083621578
"BRDN0003503879"	-0.173145489654859	-0.188369636042056	-0.302316682008924	-0.103274528676488	-0.0725867603651102
"BRDN0003509770"	-0.199411967180299	-0.272472021144662	-0.369020717645013	-0.00313418636991537	-0.931141741636747
"BRDN0003505369"	-0.0813058784302779	-0.122257934870161	0.0666595218687536	-0.228344690790228	-0.243269878902328
"BRDN0003503120"	-0.0742876125213267	-0.0603774210108034	-0.177099414134883	-0.0968307384878088	-0.0981054371197445
"BRDN0003510368"	-0.253007082389082	-0.299284045430839	-0.367544787297671	-0.462546710152237	-1.59378850412875
"BRDN0003500689"	-0.207285344152355	-0.284501179603824	-0.617360214254351	-0.291357403925749	-0.9650700760342
"BRDN0003509718"	0.0851574820757222	0.0477188936077076	0.270582321088097	0.226715343055999	0.368744050529779
"BRDN0003503788"	0.121856082487293	0.0879211544779979	0.0524452277017769	0.108503644352181	0.173239518850433
"BRDN0003505562"	-0.234099515117456	-0.123073895914535	-0.0145132962656085	0.0523589262939695	0.14057733468566
"BRDN0003507491"	0.0321494682896913	0.0557404606157453	0.104681820274835	-0.131807775259281	-0.141261649919758
"BRDN0003496453"	0.0595397839868176	0.085892459872536	0.0762708978197882	0.0818623875397607	0.445019615423364
"BRDN0003502814"	-0.408203715134308	-0.221037282173109	-0.553612529544701	-0.410479763847407	-1.44428449465003
"BRDN0003505935"	-0.317298691632433	-0.334187417824781	-0.377609887473106	-0.35655789465736	5.23597044569359
"BRDN0003496566"	-0.260877220639218	-0.377793769877115	-0.70267655255217	-0.497590793354265	-1.25978132975379
"BRDN0003501771"	-0.0651210296083616	-0.114769363681036	-0.238372808244632	-0.368775843992042	-0.56778259648563
"BRDN0003493585"	-0.22321320820317	-0.299691057682381	-0.71211581530385	-0.142990998398836	-0.959949954305858
"BRDN0003510809"	-1.12592455991439	-0.944725038688148	-0.899665160038292	-1.1065378141368	-1.09017304272911
"BRDN0003493516"	0.0361364675003836	0.0860787525544362	0.197077716203892	0.201011838944068	0.337026629229971
"BRDN0003501263"	-0.0205292291735419	-0.0945800114205716	-0.124544774760809	-0.157184533420072	-0.184365369323117
"BRDN0003502306"	-0.224992979938717	-0.186497650392402	-0.286641111385877	-0.224196466277486	-0.520449240934357
"BRDN0003509927"	-0.370085038553545	-0.547050779659839	-0.331988643364342	-0.45737106039171	-1.02942915159687
"BRDN0003500069"	-0.106784557077347	-0.196259332556207	-0.232589276310078	-0.128289611693653	-1.00798262211947
"BRDN0003495618"	-0.0704553554371238	0.00539012305782142	-0.0124362368868032	0.024542952512136	0.145856298391855
"BRDN0003508840"	0.144144055681825	0.146679571053875	0.00544747721069049	0.194699522635961	0.156344774621807
"BRDN0003511376"	0.00870911742498397	0.00234437359545373	0.100638822230045	-0.0488536850557755	-0.00198067328597852
"BRDN0003503298"	0.0910707096380951	0.0902754420749339	-0.00664636128425531	0.116888824834362	0.0580354089515746
"BRDN0003502292"	-0.0623330940539055	-0.012197799058961	0.305315692853413	-0.270358107759796	0.174068847676024
"BRDN0003510085"	-0.0691992360258672	-0.0697785986239715	-0.189842489098614	-0.0310196840658906	-0.256514398975758
"BRDN0003494672"	0.0381257217864884	0.0244904463107732	-0.0427230630622136	0.0323042318736802	0.26095280534553
